pubchem_id,common_name,flavor_profile,foodb_matched,foodb_food_id,macronutrients_json,moisture_content
18522,2-Methyltetrahydrofuran-3-One,solvent@bread@buttery@sweet@nutty,True,175.0,{},
12327,Ethyl Undecanoate,coconut@waxy@fatty@soapy@cognac,True,61.0,{},
36822,"5,6,7,8-Tetrahydroquinoxaline",nut@roasted@bean@musty@cheese@cereal@corn@chip,True,170.0,{},
65064,(-)-Epigallocatechin gallate,bitter,True,66.0,{},
107905,(-)-Epicatechin gallate,bitter,True,66.0,{},
5283324,trans-2-Octenal,nut@fat@herbal@fresh@green@fatty@banana@waxy@leaf@cucumber,True,178.0,{},
18827,1-Octen-3-Ol,raw@fishy@oily@earthy@fungal@chicken@mushroom@green,True,562.0,{},
612,lactic acid,odorless,True,372.0,{},
5364752,trans-2-Pentenal,apple@orange@tomato@strawberry@fruit@pungent@fruity@green,True,42.0,{},
957,1-octanol,burnt@orange@rose@waxy@chemical@metal@aldehydic@mushroom@green,True,562.0,{},
14296,"2,3,5,6-Tetramethylpyrazine",chocolate@burnt@lard@musty@coffee@cocoa@soybean@nutty,True,175.0,{},
3776,isopropanol,woody@bitter@musty@alcohol,True,643.0,{},
179,acetoin,butter@cream@milky@fatty@creamy@sweet@dairy@buttery,True,162.0,{},
13187,2-Nonanone,soap@herbal@fresh@fishy@hot milk@earthy@sweet@soapy@weedy@green,True,175.0,{},
10931,"3,3-Dimethylacrylic acid",alcohol@dairy@phenolic@green,True,939.0,{},
61209,"3-Methylcyclopentane-1,2-dione",,True,49.0,{},
11579,Levulinic Acid,caramel@acetoin@acidic@sweet@buttery,True,41.0,{},
8194,Dodecanal,citrus@fat@waxy@floral@lily@aldehydic@soapy@green,True,244.0,{},
5283335,trans-2-Nonenal,waxy@green@fatty@paper@melon@cucumber,True,954.0,{},
72277,(-)-Epigallocatechin,bitter,True,66.0,{},
15037,1-Furfurylpyrrole,vegetable@waxy@plastic@coffee@fruity@green,True,427.0,{},
8093,Octan-2-one,natural@earthy@gasoline@weedy@herbal@woody@bitter@soap,True,245.0,{},
9064,Cianidanol,bitter,True,66.0,{},
31245,2-Methylpentanal,ethereal@fruity@green,True,7.0,{},
7710,gamma-Nonanolactone,peach@coconut@waxy@oily@creamy@sweet@buttery,True,21.0,{},
8314,2-Methylbutanoic acid,sour@sweat@acid@strawberry@roquefort cheese@pungent@cheese,True,42.0,{},
5283329,"(2E,4E)-Octa-2,4-dienal",green@fatty@melon@pear@seaweed@cucumber,True,38.0,{},
8038,Isobutyl Acetate,apple@sweet@fruity@tropical@fruit@ethereal@bitter@banana,True,645.0,{},
1068,dimethyl sulfide,sulfur@sulfurous@cabbage@onion@gasoline@vegetable@sulfury@sweet corn@tomato@radish@wild@green,True,174.0,{},
5283339,"trans,trans-2,4-Nonadienal",,True,954.0,{},
14079,2-Acetylpyrrole,nut@licorice@coumarin@bread@musty@nutty@walnut,True,175.0,{},
8914,1-Nonanol,fatty@dusty@rose@fat@floral@green@clean@wet@orange@fresh@bitter@oily,True,575.0,{},
637920,Methyl propenyl ketone,acetone@fishy@fruity@phenolic,True,42.0,{},
10957,Isobutyl Formate,ether@sweet@fruity@chemical,True,645.0,{},
7894,Isoamylamine,unpleasant@ammonia,True,444.0,{},
61663,13679-70-4,sulfur@acetophenone@sweet@woody@cherry@almond@furfural,True,427.0,{},
65084,Gallocatechin,bitter,True,66.0,{},
72276,(-)-Epicatechin,bitter,True,66.0,{},
62131,Furfuryl methyl disulfide,roasted@sulfury@fishy@coffee@meaty@alliaceous@smoke,True,58.0,{},
8785,Benzyl Acetate,apple@bitter@apricot@plum@jasmine@boiled vegetable@cherry@sweet@floral@fresh@jasmin@fruity,True,21.0,{},
5352905,"4-Propenyl-2,6-dimethoxyphenol",sweet@spicy,True,268.0,{},
5281,stearic acid,fatty@odorless@mild,True,406.0,{},
8180,Undecanoic Acid,oil@coconut@waxy@fatty@creamy@cheese,True,38.0,{},
62453,4-Vinylphenol,medical@chemical@almond shell@sweet@phenolic,True,21.0,{},
11622,2-Tridecanone,coconut@herbal@milky@waxy@fatty@earthy@dairy@nutty,True,243.0,{},
5370602,5-Methyl-2-phenyl-2-hexenal,chocolate@bitter@butyric@cocoa@sweet@fruity@aldehydic@nut skin@green,True,113.0,{},
12748,4-Methylthiazole,vegetable@tomato@nutty@roasted meat@green,True,21.0,{},
